"Faixa_Etária";"2004/Jan";"2004/Fev";"2004/Mar";"2004/Abr";"2004/Mai";"2004/Jun";"2004/Jul";"2004/Ago";"2004/Set";"2004/Out";"2004/Nov";"2004/Dez";" Total"
"Menor de 1 ano";"2137";"3206";"2154";"1331";"1449";"2074";"1743";"2010";"1319";"1161";"2735";"2352";"23671"
"1 ano";"243465";"252234";"228319";"158234";"171576";"357382";"241402";"1281629";"1040061";"212552";"239023";"221789";"4647666"
"2 anos";"9790";"10138";"8329";"6137";"7379";"29378";"10579";"1137137";"946759";"21145";"12294";"10261";"2209326"
"3 anos";"3806";"4275";"3188";"3302";"4535";"18310";"5274";"1169857";"973724";"16402";"7762";"6391";"2216826"
"4 anos";"2697";"3235";"2638";"3492";"6198";"33285";"9670";"1359338";"1103308";"24259";"12847";"10998";"2571965"
"5 a 6 anos";"3527";"4194";"3902";"3784";"5851";"32847";"14172";"117322";"126350";"31593";"35889";"26036";"405467"
"7 a 11 anos";"5889";"8288";"6703";"5589";"6691";"13629";"9441";"18553";"18704";"12695";"26404";"18832";"151418"
"12 anos";"1882";"2159";"3412";"2212";"3044";"3959";"2655";"5568";"4532";"2763";"5985";"4428";"42599"
"13 a 14 anos";"1173";"1656";"1284";"1284";"2041";"2802";"2762";"4408";"3661";"2691";"5756";"4275";"33793"
"15 a 16 anos";"1663";"2231";"2263";"1684";"2331";"3836";"3203";"4919";"5017";"3590";"6563";"4946";"42246"
"17 a 19 anos";"2728";"3114";"3424";"2197";"3204";"5111";"4809";"6793";"6429";"5101";"8909";"8119";"59938"
"20 a 24 anos";"5360";"6112";"5921";"3481";"5211";"8121";"7810";"9337";"9261";"8088";"11787";"12208";"92697"
"25 a 29 anos";"5437";"5727";"4604";"3188";"4340";"7193";"6649";"8582";"8011";"7065";"10446";"10334";"81576"
"30 a 34 anos";"3232";"4110";"3585";"2813";"3268";"5341";"4573";"6375";"5402";"5248";"7841";"7492";"59280"
"35 a 39 anos";"2457";"2829";"2893";"1967";"2450";"4260";"3388";"4534";"3639";"4020";"5960";"5076";"43473"
"40 a 44 anos";"1061";"1609";"1382";"1020";"1175";"2087";"1869";"2447";"2011";"1838";"2428";"2935";"21862"
"45 a 49 anos";"734";"964";"994";"720";"1275";"1457";"1082";"1566";"1197";"1230";"1625";"1910";"14754"
"50 a 59 anos";"848";"1221";"764";"899";"1533";"1640";"1788";"1256";"1519";"2863";"1743";"1845";"17919"
"60 anos e mais";"390";"492";"372";"1320";"654";"572";"566";"744";"681";"721";"484";"1032";"8028"
"Homens 12 a 49 anos";"15690";"20664";"23441";"13754";"20607";"31150";"29407";"32352";"37938";"32744";"63915";"50682";"372344"
"Total";"313966";"338458";"309572";"218408";"254812";"564434";"362842";"5174727";"4299523";"397769";"470396";"411941";"13116848"
