 Acompanhamento dos dados de Hanseníase - BRASIL
Nº DOSES por Ano Diagnóstico e Mes Diagnóstico
Período:2001-2019
"Ano Diagnóstico";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"<1975";18;6;38;3;8;44;6;-;1;29;48;12;213
"1975";-;12;-;-;-;-;-;-;-;-;-;-;12
"1977";16;-;-;-;-;-;-;-;-;-;17;-;33
"1978";-;-;-;-;-;-;12;12;-;-;-;-;24
"1979";17;-;-;-;-;-;28;12;-;-;-;-;57
"1980";-;-;19;-;-;-;-;-;-;-;6;-;25
"1982";-;-;-;12;12;-;-;-;-;12;-;-;36
"1983";-;-;-;-;-;-;-;-;3;-;6;12;21
"1984";-;-;-;-;-;24;1;12;-;-;-;-;37
"1985";-;-;-;1;-;-;-;-;-;-;-;12;13
"1986";-;-;-;-;-;-;-;12;-;-;19;-;31
"1987";6;-;-;-;-;-;-;-;-;-;12;-;18
"1988";36;-;-;12;-;38;-;-;-;12;-;12;110
"1989";-;4;12;11;-;-;-;-;-;22;9;-;58
"1990";12;-;26;-;12;4;-;12;-;12;3;7;88
"1991";-;-;-;-;2;3;12;12;-;6;-;-;35
"1992";-;-;42;-;6;12;-;-;-;21;-;6;87
"1993";-;36;10;-;1;-;39;-;6;1;12;12;117
"1994";18;31;-;-;17;12;30;-;9;42;-;-;159
"1995";-;-;1;-;-;6;36;9;27;6;22;24;131
"1996";52;72;39;126;30;92;106;54;42;60;24;23;720
"1997";40;45;67;47;11;72;24;19;75;37;50;43;530
"1998";49;42;47;89;66;51;62;51;38;96;30;36;657
"1999";106;22;54;92;152;155;130;110;107;125;89;120;1262
"2000";324;266;187;168;144;251;213;325;269;371;427;596;3541
"2001";3015;3142;3048;3141;3153;3198;3074;3634;3150;3295;2949;1961;36760
"2002";3060;3192;3343;3926;3589;3803;4414;3928;4017;3924;3672;2883;43751
"2003";3124;4300;3834;4226;4152;3668;3963;4206;4324;4641;4329;4025;48792
"2004";4424;4101;5855;4776;5359;5473;5301;6390;5003;5259;5264;4975;62180
"2005";5767;6571;6998;7522;7906;7431;8051;9532;9301;11006;11516;10655;102256
"2006";14482;15350;19084;15070;19178;18846;20584;27463;23823;26477;27593;23768;251718
"2007";29638;28195;34832;27620;31328;27870;30037;34107;29370;34271;29348;25617;362233
"2008";29940;29429;29813;34041;28675;31718;35949;37069;35769;32916;30461;25146;380926
"2009";28011;31034;37151;29310;30270;29443;30891;32852;30398;29583;29723;24151;362817
"2010";26388;27598;34648;28504;32480;27459;27488;32630;29489;29021;29897;25050;350652
"2011";26745;32868;30676;27628;33116;28922;26889;33509;30288;28445;29942;24988;354016
"2012";27403;31448;36495;30575;34015;27427;28477;32187;27734;28356;25846;20615;350578
"2013";25326;24112;26819;31306;29061;26944;28453;31409;30730;30694;28504;23335;336693
"2014";27547;31381;25656;28313;29758;24570;28491;30752;32228;30981;27158;23861;340696
"2015";24685;26352;31161;26274;26997;26969;27125;29431;28939;27483;25693;21666;322775
"2016";22124;23139;27401;24823;23809;26953;23302;28600;26450;24274;23238;20667;294780
"2017";23616;24661;28710;23277;30209;25448;25264;30469;25968;30086;26802;22644;317154
"2018";27347;25980;30243;29241;29646;26466;27027;33044;29990;31145;26550;20136;336815
"2019";27258;27748;23564;24860;24041;19277;20301;21079;19268;17897;13584;8468;247345
"Total";380594;401137;439873;404994;427203;392649;405780;462931;426816;430606;402843;335526;4910952
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Excluídos casos não residentes no Brasil.
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Para tabular os dados de hanseníase pode ser acessado o Caderno de Análise, pelo link:http://portalsinan.saude.gov.br/hanseniase.
 Os bancos de dados de 2001 a 2019 são bancos brutos, não receberam nenhum tratamento, nem foram consolidados, por tanto os dados aqui disponíveis podem apresentar diferenças em relação aos boletins epidemiológicos e outras publicações de hanseníase.
 As bases de dados de 2017 a 2019 ainda podem receber atualizações na notificação de casos.
 *Dados disponibilizados no TABNET em 10/2020
 
